playlist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,explicit,mode,followers,num_tracks,track_feat,track_remast,track_remix,album_feat,album_deluxe,album_best,time_sign_0.0,time_sign_3.0,time_sign_4.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0
1992,0.20355835400000002,0.6188400000000001,272179.16,0.62782,0.0290325706,0.16671599999999998,-8.61448,39.88,0.056216,113.07048000000003,0.557056,0,1.0,431,50,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1993,0.20355835400000002,0.6188400000000001,272179.16,0.62782,0.0290325706,0.16671599999999998,-8.61448,39.88,0.056216,113.07048000000003,0.557056,0,1.0,392,50,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1994,0.25898702,0.6339,258475.92,0.5867999999999999,0.006783189800000001,0.14652,-8.636579999999999,38.9,0.060618,118.06044000000001,0.52526,0,1.0,440,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1996,0.25680359999999997,0.6455200000000001,270115.88,0.6017600000000001,0.0402304974,0.15090400000000004,-8.083139999999998,43.98,0.04874799999999999,114.39824000000004,0.5448199999999999,0,1.0,476,50,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1997,0.25950379999999995,0.6720400000000001,264647.58,0.5982699999999997,0.0028622816,0.15987000000000004,-7.751160000000002,39.8,0.06562,123.08581999999998,0.5486900000000002,0,1.0,473,50,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1999,0.15485364799999998,0.6523200000000001,253792.9,0.6730360000000002,0.002341861,0.16406200000000004,-6.598940000000002,47.06,0.07640599999999999,112.31442000000003,0.57172,0,1.0,611,50,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20 Questions,0.8023499999999999,0.5139,246327.6,0.77435,0.000216257,0.7924,-9.356149999999998,20.85,0.8748999999999999,99.6863,0.4143800000000001,1,1.0,7945,20,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2000,0.134198268,0.6590799999999999,246848.92,0.71902,0.0020858730000000002,0.14932199999999995,-6.43018,38.76,0.06358199999999999,120.24665999999999,0.6386000000000001,0,1.0,652,50,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2001,0.137536,0.68948,242586.74,0.7015399999999998,0.0061831614000000005,0.18832000000000002,-5.655799999999999,45.44,0.09762000000000003,108.18127999999999,0.6431279999999999,0,1.0,645,50,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2002,0.11520129000000001,0.66188,245280.48,0.7227800000000001,0.0148321858,0.16761000000000004,-5.4517999999999995,45.44,0.102722,120.28906,0.62074,0,1.0,4691,50,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
